CN,PUB_CD,TITLE,AUTHOR,TYPE,VALID,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
1.01243E+14,Kotar N WI,"A guide to forest communities and habitat types of northern Wisconsin, 2nd edition.","John Kotar, Joseph A. Kovach, Timothy L. Burger",?,Y,NIMS,7/13/2006 11:43,10661,,,
1.01243E+14,Kotar S WI,A guide to forest communities and habitat types of central and southern Wisconsin,"John Kotar, Timothy L. Burger",?,Y,NIMS,7/13/2006 11:43,10661,,,
3.50739E+12,114,"The Vegetation of the Grand River/Cedar River, Sioux, and Ashland Districts of the Custer NF: A Habitat Type Classification.","Hansen, Paul, L.; Hoffman, George, R.",PVREF,Y,FS_NIMS,2/7/2012 19:00,440,,,
3.50739E+12,115,Ecological Sites and habitat Types of Little Missouri National Grasslans and Western North Dakota,"Jensen, Heisner, DiBenedetto, Wessman, Phillipe",PVREF,Y,FS_NIMS,2/7/2012 19:00,440,,,
3.7195E+12,101,Forest Habitat Types of Montana; Gen.Tech.Rep. INT-34,"R.D. Pfister, B.L. Kovalchik, S.F. Arno, and R.C. Presby (1977)",PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,,,
3.7195E+12,401,Forest Habitat Types of Central Idaho; USDA/FS Gen.Tech.Rep INT-144,"R. Steele, R.D. Pfister, R.A. Ryker, and J.A. Kittams (1981)",PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,,,
3.7195E+12,301,"Plant Associations of Arizona and New Mexico, ed. 3, 7/1997. Vol 1: Forests, Vol 2: Woodlands (an update of the USDA Forest Serv SW Region Habitat Typing Guides. 9/1996, rev 7/1997. Contract R3-95-27)",?,PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,FIELD,1/24/2005 12:46,10690
3.7195E+12,302,Forest and Woodland Habitat Types (Plant Associations) of Northern New  Mexico and Northern Arizona; 2nd Edition (1987),?,PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,FIELD,1/24/2005 12:46,10690
3.7195E+12,303,Forest and Woodland Habitat Types (Plant Associations) of Arizona; South of the Mogollon Rim and Southwestern New Mexico; 2nd Edition (1987),?,PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,FIELD,1/24/2005 12:46,10690
3.7195E+12,109,Native Woodland Habitat Types of Southwestern North Dakota; USDA/FS Research Paper RM-281,"Michele M. Girard, Harold Goetz, Ardell J. Bjugstad (1989)",PVREF,N,NIMS_2_0,10/19/2004 10:41,10690,,,
3.7195E+12,204,Forest Vegetation of the Gunnison and Parts of the Uncompahgre National Forests: A Preliminary Habitat Type Classification; USDA/FS Gen.Tech.Rep. RM-163,"Vera Komarkova, Robert R. Alexander, and Barry C. Johnston (1988)",PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,,,
3.7195E+12,205,Forest Vegetation on National Forests in the Rocky Mountain and Intermountain Regions: Habitat Types and Community Types; USDA/FS Gen.Tech.Rep. RM-162,Robert R. Alexander (1988),PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,,,
3.71951E+12,103,Grassland and Shrubland Habitat Types of Western Montana; USDA/FS Gen.Tech.Rep. INT-66,W.F. Mueggler and W.L. Stewart (1980),PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,,,
3.71951E+12,110,Forest Habitat Types of Northern Idaho: A Second Approximation; USDA/FS Gen.Tech.Rep. INT-236,"Stephen V. Cooper, Kenneth E. Neiman, Robert Steele, and David W. Roberts (1987)",PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,,,
3.71951E+12,201,"Plant Associations of Region Two: Potential Plant Communities of Wyoming, South Dakota, Nebraska, Colorado, and Kansas; Edition 4",USDA/FS Report R2-ECOL-87-2; Barry C. Johnston (1987),PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,,,
3.71951E+12,402,Forest Habitat Types of Eastern Idaho-Western Wyoming; USDA/FS Gen.Tech.Rep. INT-144,"R. Steele, S.V. Cooper, D.M. Ondov, D.W. Roberts, and R.D. Pfister (1983)",PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,,,
3.71951E+12,403,Coniferous Forest Habitat Types of Northern Utah; USDA/FS Gen.Tech.Rep. INT-170,R.L. Mauk and J.A. Henderson (1984),PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,,,
3.71951E+12,404,Coniferous Forest Habitat Types of Central and Southern Utah; USDA/FS Gen.Tech.Rep. INT-187,A.P. Youngblood and R.L. Mauk (1985),PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,,,
3.71951E+12,405,Aspen Community Types of the Intermountain Region; USDA/FS Gen.Tech.Rep. INT-250,W.F. Mueggler (1988),PVREF,Y,NIMS_2_0,10/19/2004 10:41,10690,,,
